,Symbol,Ensembl
0,Cbln2,ENSMUSG00000024647
1,Ptchd2,ENSMUSG00000041544
2,P2rx2,ENSMUSG00000029503
3,Ptger4,ENSMUSG00000039942
4,Fam19a1,ENSMUSG00000059187
5,Slc12a7,ENSMUSG00000017756
6,Tlx2,ENSMUSG00000068327
7,Hoxa3,ENSMUSG00000079560
8,Adgrg6,ENSMUSG00000039116
9,Dgkg,ENSMUSG00000022861
10,Scn5a,ENSMUSG00000032511
11,Krt19,ENSMUSG00000020911
12,mt-Co3,ENSMUSG00000064358
13,Adra2a,ENSMUSG00000033717
14,Gpr149,ENSMUSG00000043441
15,Hoxb5,ENSMUSG00000038700
16,Trpc6,ENSMUSG00000031997
17,Phox2b,ENSMUSG00000012520
18,Milr1,ENSMUSG00000040528
19,Sgcz,ENSMUSG00000039539
20,Kif22,ENSMUSG00000030677
21,Cntn5,ENSMUSG00000039488
22,Sox4,ENSMUSG00000076431
23,Rbms3,ENSMUSG00000039607
24,Wif1,ENSMUSG00000020218
25,Myl1,ENSMUSG00000061816
26,Dleu7,ENSMUSG00000048281
27,Arhgap6,ENSMUSG00000031355
28,Gm3336,ENSMUSG00000095026
29,6330403A02Rik,ENSMUSG00000053963
30,Tcf7l2,ENSMUSG00000024985
31,Slc35d3,ENSMUSG00000050473
32,mt-Nd3,ENSMUSG00000064360
33,Kcnb2,ENSMUSG00000092083
34,Gcgr,ENSMUSG00000025127
35,Grin3a,ENSMUSG00000039579
36,Cpne4,ENSMUSG00000032564
37,mt-Co2,ENSMUSG00000064354
38,Nog,ENSMUSG00000048616
39,Klhl32,ENSMUSG00000040387
40,Gm10709,ENSMUSG00000074516
41,Fgf13,ENSMUSG00000031137
42,Slc29a4,ENSMUSG00000050822
43,mt-Atp6,ENSMUSG00000064357
44,mt-Nd4l,ENSMUSG00000065947
45,Snx31,ENSMUSG00000013611
46,Robo2,ENSMUSG00000052516
47,Amigo2,ENSMUSG00000048218
48,Hoxc4,ENSMUSG00000075394
49,Zfp804a,ENSMUSG00000070866
50,Ano2,ENSMUSG00000038115
51,4930532G15Rik,ENSMUSG00000097261
52,Scube1,ENSMUSG00000016763
53,Smpd3,ENSMUSG00000031906
54,Gm15261,ENSMUSG00000087201
55,Kcna5,ENSMUSG00000045534
56,Pcsk1,ENSMUSG00000021587
57,Scgn,ENSMUSG00000021337
58,Bcl2,ENSMUSG00000057329
59,Rps12-ps3,ENSMUSG00000067038
60,AW551984,ENSMUSG00000038112
61,Gm10073,ENSMUSG00000060019
62,Gabrg3,ENSMUSG00000055026
63,Rpl23a-ps3,ENSMUSG00000078126
64,Meis1,ENSMUSG00000020160
65,Khdrbs2,ENSMUSG00000026058
66,Gm16141,ENSMUSG00000087507
67,Dcx,ENSMUSG00000031285
68,Klhl1,ENSMUSG00000022076
69,Actg1,ENSMUSG00000062825
70,Galnt13,ENSMUSG00000060988
71,Etaa1os,ENSMUSG00000086468
72,Nmur2,ENSMUSG00000037393
73,Gps1,ENSMUSG00000025156
74,Vwc2l,ENSMUSG00000045648
75,Usp51,ENSMUSG00000067215
76,Tshz3,ENSMUSG00000021217
77,Pbx3,ENSMUSG00000038718
78,Fgf16,ENSMUSG00000031230
79,Mgat4c,ENSMUSG00000019888
80,Kcnk2,ENSMUSG00000037624
81,1700023F06Rik,ENSMUSG00000020940
82,Tmie,ENSMUSG00000049555
83,Hoxb4,ENSMUSG00000038692
84,Celf6,ENSMUSG00000032297
85,Brinp3,ENSMUSG00000035131
86,Plppr3,ENSMUSG00000035835
87,Atp5g2,ENSMUSG00000062683
88,Sumo2,ENSMUSG00000020738
89,Rgs17,ENSMUSG00000019775
90,Ucn3,ENSMUSG00000044988
91,Htr2b,ENSMUSG00000026228
92,Tox,ENSMUSG00000041272
93,Gpc6,ENSMUSG00000058571
94,Tac1,ENSMUSG00000061762
95,Mab21l2,ENSMUSG00000057777
96,Ndst4,ENSMUSG00000027971
97,Hoxd4,ENSMUSG00000101174
98,A730046J19Rik,ENSMUSG00000085139
99,Hoxaas3,ENSMUSG00000085696
100,Hmx2,ENSMUSG00000050100
101,Dsc3,ENSMUSG00000059898
102,E530001K10Rik,ENSMUSG00000075020
103,Hoxa5,ENSMUSG00000038253
104,Zfp36l2,ENSMUSG00000045817
105,Plce1,ENSMUSG00000024998
106,Islr2,ENSMUSG00000051243
107,Evpl,ENSMUSG00000034282
108,Avpr1a,ENSMUSG00000020123
109,Igf2bp2,ENSMUSG00000033581
110,Cckar,ENSMUSG00000029193
111,Tm4sf4,ENSMUSG00000027801
112,Grp,ENSMUSG00000024517
